experiment,simulations,exploration_weight,seed,evaluation_episodes,success_rate,ghost_rate,timeout_rate,mean_return,return_std,mean_steps,mean_optimal_steps,mean_efficiency_ratio,optimal_path_rate,total_decisions,total_search_time,mean_decision_time,decisions_per_second
simulation_budget,25,1.4142135623730951,0,20,0.45,0.55,0.0,-3.85,11.727211944874195,3.85,3.6,0.4166666666666667,0.35,77,1.2097279998706654,0.015710753245073577,63.65067189337788
simulation_budget,25,1.4142135623730951,1,20,0.4,0.6,0.0,-5.0,12.513992168768526,4.0,2.95,0.375,0.35,80,1.1259518997976556,0.014074398747470695,71.0509925107607
simulation_budget,25,1.4142135623730951,2,20,0.55,0.45,0.0,-2.05,9.932144783479549,4.05,3.5,0.42573953823953825,0.25,81,1.0972443994833156,0.013546227154115008,73.8212927203295
simulation_budget,25,1.4142135623730951,3,20,0.6,0.4,0.0,-0.45,9.820768809008793,3.45,3.5,0.5447802197802198,0.4,69,0.9146372991381213,0.013255613030987266,75.43973995486506
simulation_budget,25,1.4142135623730951,4,20,0.35,0.65,0.0,-6.3,10.555093557141026,4.3,3.7,0.2598484848484849,0.2,86,1.2050157994963229,0.014011811622050266,71.36835885135001
simulation_budget,50,1.4142135623730951,0,20,0.45,0.55,0.0,-3.3,10.57402477772773,3.3,3.6,0.4083333333333333,0.3,66,1.5016478000907227,0.02275223939531398,43.95171757053323
simulation_budget,50,1.4142135623730951,1,20,0.5,0.5,0.0,-2.5,11.31149857445953,3.5,2.95,0.44000000000000006,0.3,70,1.6805800006259233,0.024008285723227475,41.65228669502723
simulation_budget,50,1.4142135623730951,2,20,0.5,0.5,0.0,-2.75,11.130476180289863,3.75,3.5,0.4109523809523809,0.3,75,1.7993149997200817,0.023990866662934422,41.68252919120204
simulation_budget,50,1.4142135623730951,3,20,0.6,0.4,0.0,-0.7,9.51367436903324,3.7,3.5,0.495,0.35,74,1.6312198004452512,0.02204351081682772,45.3648245195413
simulation_budget,50,1.4142135623730951,4,20,0.5,0.5,0.0,-2.85,11.177097118661893,3.85,3.7,0.46904761904761905,0.4,77,1.7808216002304107,0.023127553249745594,43.23846924927089
simulation_budget,100,1.4142135623730951,0,20,0.6,0.4,0.0,-1.9,10.33392471426031,4.9,3.6,0.46312499999999995,0.4,98,4.053232199745253,0.041359512242298495,24.178234843333016
simulation_budget,100,1.4142135623730951,1,20,0.7,0.3,0.0,1.45,10.855758840357499,3.55,2.95,0.6166666666666667,0.5,71,2.946689000353217,0.041502661976805875,24.09484000228368
simulation_budget,100,1.4142135623730951,2,20,0.45,0.55,0.0,-4.55,12.142796218334556,4.55,3.5,0.35833333333333334,0.2,91,4.098688999773003,0.04504053845904399,22.20222124807221
simulation_budget,100,1.4142135623730951,3,20,0.7,0.3,0.0,1.2,9.594790253048787,3.8,3.5,0.6428571428571429,0.5,76,3.0433875997550786,0.04004457368098788,24.972172458781202
simulation_budget,100,1.4142135623730951,4,20,0.45,0.55,0.0,-4.25,10.866807258804217,4.25,3.7,0.38752913752913754,0.3,85,3.630174999474548,0.042707941170288796,23.414849149780213
simulation_budget,200,1.4142135623730951,0,20,0.6,0.4,0.0,-1.7,11.541663658242689,4.7,3.6,0.526875,0.45,94,7.18499489990063,0.07643611595638969,13.082820699190759
simulation_budget,200,1.4142135623730951,1,20,0.6,0.4,0.0,-0.55,11.002158879056418,3.55,2.95,0.5416666666666667,0.5,71,5.036338799749501,0.0709343492922465,14.097542445621693
simulation_budget,200,1.4142135623730951,2,20,0.55,0.45,0.0,-1.75,10.118670861333518,3.75,3.5,0.43083333333333335,0.3,75,5.438005200121552,0.07250673600162069,13.791822045025551
simulation_budget,200,1.4142135623730951,3,20,0.55,0.45,0.0,-2.4,10.81387996974259,4.4,3.5,0.38654761904761903,0.2,88,6.251590099534951,0.07104079658562444,14.076418734898537
simulation_budget,200,1.4142135623730951,4,20,0.5,0.5,0.0,-3.75,12.136206161729456,4.75,3.7,0.4489393939393939,0.35,95,6.936645699897781,0.07301732315681875,13.695380175089515
simulation_budget,500,1.4142135623730951,0,20,0.5,0.5,0.0,-3.85,12.626460311583765,4.85,3.6,0.42777777777777776,0.4,97,15.883654300239868,0.16374901340453474,6.106907023186418
