action_error_probability,seed,training_episodes,evaluation_episodes,success_rate,ghost_rate,timeout_rate,mean_return,return_std,mean_steps,mean_optimal_steps,mean_efficiency_ratio,optimal_path_rate
0.0,0,3000,200,1.0,0.0,0.0,7.72,1.7063411147833247,3.28,3.28,1.0,1.0
0.05,0,3000,200,0.98,0.02,0.0,7.115,3.4730066225102427,3.485,3.28,0.9407698412698412,0.875
0.1,0,3000,200,0.99,0.01,0.0,6.985,2.9857620467813573,3.815,3.28,0.8917216810966813,0.715
0.2,0,3000,200,0.925,0.075,0.0,5.19,5.604810433904077,4.31,3.28,0.7548421717171717,0.505
0.0,1,3000,200,1.0,0.0,0.0,7.68,1.6755894485225191,3.32,3.32,1.0,1.0
0.05,1,3000,200,0.98,0.02,0.0,6.975,3.3112497640619023,3.625,3.32,0.9234722222222222,0.82
0.1,1,3000,200,0.97,0.03,0.0,6.595,3.8302708781494808,3.805,3.32,0.8856507936507936,0.745
0.2,1,3000,200,0.91,0.09,0.0,4.655,6.50507302034343,4.545,3.32,0.7441798511945571,0.5
0.0,2,3000,200,1.0,0.0,0.0,7.395,1.8705547305545487,3.605,3.605,1.0,1.0
0.05,2,3000,200,0.99,0.01,0.0,6.96,2.865030540849434,3.84,3.605,0.952273656898657,0.88
0.1,2,3000,200,0.965,0.035,0.0,6.14,4.333635886873746,4.16,3.605,0.8772063492063492,0.71
0.2,2,3000,200,0.91,0.09,0.0,4.28,6.68293348762353,4.92,3.605,0.7320491734572616,0.445
0.0,3,3000,200,1.0,0.0,0.0,7.775,1.7675901674313534,3.225,3.225,1.0,1.0
0.05,3,3000,200,0.995,0.005,0.0,7.465,2.275692202385903,3.435,3.225,0.9477936507936507,0.86
0.1,3,3000,200,0.975,0.025,0.0,6.805,3.994618254602059,3.695,3.225,0.8901865079365079,0.745
0.2,3,3000,200,0.92,0.08,0.0,5.13,6.225198792006565,4.27,3.225,0.7552849511599513,0.515
0.0,4,3000,200,1.0,0.0,0.0,7.67,1.8003055296254575,3.33,3.33,1.0,1.0
0.05,4,3000,200,0.995,0.005,0.0,7.325,2.4019523309174975,3.575,3.33,0.9472810245310245,0.845
0.1,4,3000,200,0.965,0.035,0.0,6.42,4.156152066515372,3.88,3.33,0.8624565295815296,0.69
0.2,4,3000,200,0.945,0.055,0.0,5.435,5.550295037202977,4.465,3.33,0.7729104506604506,0.535
