alpha,seed,training_episodes,last_100_mean_return,success_rate,ghost_rate,timeout_rate,mean_return,return_std,mean_steps,mean_optimal_steps,mean_efficiency_ratio,optimal_path_rate
0.01,0,1000,6.55,0.905,0.0,0.095,3.435,14.144107430304677,6.52,3.385,0.905,0.905
0.01,1,1000,7.64,0.915,0.0,0.085,3.73,13.41890830134851,6.335,3.53,0.915,0.915
0.01,2,1000,6.93,0.93,0.0,0.07,4.66,12.346432683168041,5.57,3.26,0.93,0.93
0.01,3,1000,6.73,0.95,0.0,0.05,5.42,10.528703623903562,5.03,3.38,0.95,0.95
0.01,4,1000,6.71,0.94,0.0,0.06,4.915,11.439308326992503,5.425,3.445,0.94,0.94
0.1,0,1000,6.94,1.0,0.0,0.0,7.615,1.8403192657797178,3.385,3.385,1.0,1.0
0.1,1,1000,7.82,1.0,0.0,0.0,7.47,1.881249584717562,3.53,3.53,1.0,1.0
0.1,2,1000,6.97,1.0,0.0,0.0,7.74,1.833684814792335,3.26,3.26,1.0,1.0
0.1,3,1000,7.35,1.0,0.0,0.0,7.62,1.7220917513303409,3.38,3.38,1.0,1.0
0.1,4,1000,7.32,1.0,0.0,0.0,7.555,1.7020502342762978,3.445,3.445,1.0,1.0
0.5,0,1000,6.63,1.0,0.0,0.0,7.615,1.8403192657797178,3.385,3.385,1.0,1.0
0.5,1,1000,7.79,1.0,0.0,0.0,7.47,1.881249584717562,3.53,3.53,1.0,1.0
0.5,2,1000,7.2,1.0,0.0,0.0,7.74,1.833684814792335,3.26,3.26,1.0,1.0
0.5,3,1000,7.52,1.0,0.0,0.0,7.62,1.7220917513303409,3.38,3.38,1.0,1.0
0.5,4,1000,7.3,1.0,0.0,0.0,7.555,1.7020502342762978,3.445,3.445,1.0,1.0
0.9,0,1000,7.11,1.0,0.0,0.0,7.615,1.8403192657797178,3.385,3.385,1.0,1.0
0.9,1,1000,7.65,1.0,0.0,0.0,7.47,1.881249584717562,3.53,3.53,1.0,1.0
0.9,2,1000,7.2,1.0,0.0,0.0,7.74,1.833684814792335,3.26,3.26,1.0,1.0
0.9,3,1000,7.36,1.0,0.0,0.0,7.62,1.7220917513303409,3.38,3.38,1.0,1.0
0.9,4,1000,6.75,1.0,0.0,0.0,7.555,1.7020502342762978,3.445,3.445,1.0,1.0
