gamma,seed,training_episodes,last_100_mean_return,success_rate,ghost_rate,timeout_rate,mean_return,return_std,mean_steps,mean_optimal_steps,mean_efficiency_ratio,optimal_path_rate
0.5,0,1000,7.03,1.0,0.0,0.0,7.615,1.8403192657797178,3.385,3.385,1.0,1.0
0.5,1,1000,7.78,1.0,0.0,0.0,7.47,1.881249584717562,3.53,3.53,1.0,1.0
0.5,2,1000,6.65,1.0,0.0,0.0,7.74,1.833684814792335,3.26,3.26,1.0,1.0
0.5,3,1000,7.36,1.0,0.0,0.0,7.62,1.7220917513303409,3.38,3.38,1.0,1.0
0.5,4,1000,6.97,1.0,0.0,0.0,7.555,1.7020502342762978,3.445,3.445,1.0,1.0
0.7,0,1000,6.63,1.0,0.0,0.0,7.615,1.8403192657797178,3.385,3.385,1.0,1.0
0.7,1,1000,7.8,1.0,0.0,0.0,7.47,1.881249584717562,3.53,3.53,1.0,1.0
0.7,2,1000,7.18,1.0,0.0,0.0,7.74,1.833684814792335,3.26,3.26,1.0,1.0
0.7,3,1000,7.22,1.0,0.0,0.0,7.62,1.7220917513303409,3.38,3.38,1.0,1.0
0.7,4,1000,7.22,1.0,0.0,0.0,7.555,1.7020502342762978,3.445,3.445,1.0,1.0
0.9,0,1000,6.94,1.0,0.0,0.0,7.615,1.8403192657797178,3.385,3.385,1.0,1.0
0.9,1,1000,7.76,1.0,0.0,0.0,7.47,1.881249584717562,3.53,3.53,1.0,1.0
0.9,2,1000,7.18,1.0,0.0,0.0,7.74,1.833684814792335,3.26,3.26,1.0,1.0
0.9,3,1000,7.31,1.0,0.0,0.0,7.62,1.7220917513303409,3.38,3.38,1.0,1.0
0.9,4,1000,7.32,1.0,0.0,0.0,7.555,1.7020502342762978,3.445,3.445,1.0,1.0
0.99,0,1000,6.94,1.0,0.0,0.0,7.615,1.8403192657797178,3.385,3.385,1.0,1.0
0.99,1,1000,7.82,1.0,0.0,0.0,7.47,1.881249584717562,3.53,3.53,1.0,1.0
0.99,2,1000,6.97,1.0,0.0,0.0,7.74,1.833684814792335,3.26,3.26,1.0,1.0
0.99,3,1000,7.35,1.0,0.0,0.0,7.62,1.7220917513303409,3.38,3.38,1.0,1.0
0.99,4,1000,7.32,1.0,0.0,0.0,7.555,1.7020502342762978,3.445,3.445,1.0,1.0
