method,grid,layout,seed,evaluation_seed,rows,cols,n_states,training_episodes,mcts_simulations,exploration_weight,training_time_seconds,mean_decision_time,decisions_per_second,success_rate,ghost_rate,timeout_rate,mean_return,return_std,mean_steps,mean_optimal_steps,mean_efficiency_ratio,optimal_path_rate
Q-learning,4x5,1,0,10000,4,5,20,3000,0,0.0,0.40192990005016327,2.273954001720995e-05,43976.26333879976,1.0,0.0,0.0,7.333333333333333,2.494438257849294,3.6666666666666665,3.6666666666666665,1.0,1.0
MCTS,4x5,1,0,10000,4,5,20,0,200,0.5,0.0,0.10378239091104743,9.635545984454208,1.0,0.0,0.0,7.333333333333333,2.494438257849294,3.6666666666666665,3.6666666666666665,1.0,1.0
Q-learning,4x5,1,1,10001,4,5,20,3000,0,0.0,0.2952957999659702,1.7583040008321404e-05,56872.986669355065,1.0,0.0,0.0,7.666666666666667,0.9428090415820634,3.3333333333333335,3.3333333333333335,1.0,1.0
MCTS,4x5,1,1,10001,4,5,20,0,200,0.5,0.0,0.0755289000059877,13.239965098402372,0.6666666666666666,0.3333333333333333,0.0,2.0,8.524474568362947,2.3333333333333335,3.3333333333333335,0.6666666666666666,0.6666666666666666
Q-learning,4x5,1,2,10002,4,5,20,3000,0,0.0,0.28810580004937947,1.7685359995812177e-05,56543.94370466849,1.0,0.0,0.0,6.666666666666667,1.247219128924647,4.333333333333333,4.333333333333333,1.0,1.0
MCTS,4x5,1,2,10002,4,5,20,0,200,0.5,0.0,0.08568284287217207,11.670947957362634,1.0,0.0,0.0,6.333333333333333,1.247219128924647,4.666666666666667,4.333333333333333,0.9333333333333332,0.6666666666666666
Q-learning,4x5,2,0,10000,4,5,20,3000,0,0.0,0.2293709999648854,1.7663639993406832e-05,56613.47266889849,1.0,0.0,0.0,7.666666666666667,1.247219128924647,3.3333333333333335,3.3333333333333335,1.0,1.0
MCTS,4x5,2,0,10000,4,5,20,0,200,0.5,0.0,0.08114054000470787,12.324295598007836,1.0,0.0,0.0,7.666666666666667,1.247219128924647,3.3333333333333335,3.3333333333333335,1.0,1.0
Q-learning,4x5,2,1,10001,4,5,20,3000,0,0.0,0.2232956999214366,1.7571459989994765e-05,56910.467347016274,1.0,0.0,0.0,8.666666666666666,0.4714045207910317,2.3333333333333335,2.3333333333333335,1.0,1.0
MCTS,4x5,2,1,10001,4,5,20,0,200,0.5,0.0,0.07589625715211566,13.175880307190146,1.0,0.0,0.0,8.666666666666666,0.4714045207910317,2.3333333333333335,2.3333333333333335,1.0,1.0
Q-learning,4x5,2,2,10002,4,5,20,3000,0,0.0,0.22134300007019192,1.7379519995301962e-05,57538.98843410637,1.0,0.0,0.0,9.0,0.816496580927726,2.0,2.0,1.0,1.0
MCTS,4x5,2,2,10002,4,5,20,0,200,0.5,0.0,0.07349598335955913,13.606185730011553,1.0,0.0,0.0,9.0,0.816496580927726,2.0,2.0,1.0,1.0
Q-learning,4x5,3,0,10000,4,5,20,3000,0,0.0,0.19609910005237907,1.7629639990627764e-05,56722.65573951697,1.0,0.0,0.0,8.333333333333334,1.247219128924647,2.6666666666666665,2.6666666666666665,1.0,1.0
MCTS,4x5,3,0,10000,4,5,20,0,200,0.5,0.0,0.08133384998654947,12.295003865738243,1.0,0.0,0.0,8.333333333333334,1.247219128924647,2.6666666666666665,2.6666666666666665,1.0,1.0
Q-learning,4x5,3,1,10001,4,5,20,3000,0,0.0,0.2005200000712648,1.7253440013155342e-05,57959.45615700542,1.0,0.0,0.0,9.333333333333334,0.4714045207910317,1.6666666666666667,1.6666666666666667,1.0,1.0
MCTS,4x5,3,1,10001,4,5,20,0,200,0.5,0.0,0.06781626001466065,14.745726169267046,1.0,0.0,0.0,9.333333333333334,0.4714045207910317,1.6666666666666667,1.6666666666666667,1.0,1.0
Q-learning,4x5,3,2,10002,4,5,20,3000,0,0.0,0.20385789999272674,1.740592001006007e-05,57451.71754334339,1.0,0.0,0.0,9.0,0.0,2.0,2.0,1.0,1.0
MCTS,4x5,3,2,10002,4,5,20,0,200,0.5,0.0,0.06909869999314348,14.47205229764421,1.0,0.0,0.0,9.0,0.0,2.0,2.0,1.0,1.0
Q-learning,4x5,4,0,10000,4,5,20,3000,0,0.0,0.25693150004372,1.7216199985705316e-05,58084.82712969786,1.0,0.0,0.0,9.0,0.0,2.0,2.0,1.0,1.0
MCTS,4x5,4,0,10000,4,5,20,0,200,0.5,0.0,0.07591925002634525,13.171889865257931,1.0,0.0,0.0,9.0,0.0,2.0,2.0,1.0,1.0
Q-learning,4x5,4,1,10001,4,5,20,3000,0,0.0,0.23993939999490976,1.781431999988854e-05,56134.61529860566,1.0,0.0,0.0,8.333333333333334,1.247219128924647,2.6666666666666665,2.6666666666666665,1.0,1.0
MCTS,4x5,4,1,10001,4,5,20,0,200,0.5,0.0,0.08310706248448696,12.032671714111702,1.0,0.0,0.0,8.333333333333334,1.247219128924647,2.6666666666666665,2.6666666666666665,1.0,1.0
Q-learning,4x5,4,2,10002,4,5,20,3000,0,0.0,0.2210998999653384,1.741349999792874e-05,57426.70916926211,1.0,0.0,0.0,8.333333333333334,1.247219128924647,2.6666666666666665,2.6666666666666665,1.0,1.0
MCTS,4x5,4,2,10002,4,5,20,0,200,0.5,0.0,0.07956006252788939,12.569120337851103,1.0,0.0,0.0,8.333333333333334,1.247219128924647,2.6666666666666665,2.6666666666666665,1.0,1.0
Q-learning,4x5,5,0,10000,4,5,20,3000,0,0.0,0.2144568000221625,1.751496000215411e-05,57094.049879475206,1.0,0.0,0.0,9.333333333333334,0.4714045207910317,1.6666666666666667,1.6666666666666667,1.0,1.0
MCTS,4x5,5,0,10000,4,5,20,0,200,0.5,0.0,0.07730936000589281,12.93504434552008,1.0,0.0,0.0,9.333333333333334,0.4714045207910317,1.6666666666666667,1.6666666666666667,1.0,1.0
Q-learning,4x5,5,1,10001,4,5,20,3000,0,0.0,0.20039270003326237,1.793082000222057e-05,55769.897856102456,1.0,0.0,0.0,9.0,0.816496580927726,2.0,2.0,1.0,1.0
MCTS,4x5,5,1,10001,4,5,20,0,200,0.5,0.0,0.07919255001858498,12.627450432715188,1.0,0.0,0.0,9.0,0.816496580927726,2.0,2.0,1.0,1.0
Q-learning,4x5,5,2,10002,4,5,20,3000,0,0.0,0.19416670000646263,1.7059160000644624e-05,58619.53343319439,1.0,0.0,0.0,8.333333333333334,0.4714045207910317,2.6666666666666665,2.6666666666666665,1.0,1.0
MCTS,4x5,5,2,10002,4,5,20,0,200,0.5,0.0,0.07486043332998331,13.358191443963728,0.6666666666666666,0.3333333333333333,0.0,2.3333333333333335,8.73053390247253,2.0,2.6666666666666665,0.6666666666666666,0.6666666666666666
Q-learning,4x5,6,0,10000,4,5,20,3000,0,0.0,0.22602080006618053,1.6806459985673427e-05,59500.93005025713,1.0,0.0,0.0,9.333333333333334,0.4714045207910317,1.6666666666666667,1.6666666666666667,1.0,1.0
MCTS,4x5,6,0,10000,4,5,20,0,200,0.5,0.0,0.07551773998420686,13.241921702226941,1.0,0.0,0.0,9.333333333333334,0.4714045207910317,1.6666666666666667,1.6666666666666667,1.0,1.0
Q-learning,4x5,6,1,10001,4,5,20,3000,0,0.0,0.23829060001298785,1.836401999462396e-05,54454.30795069645,1.0,0.0,0.0,8.666666666666666,1.247219128924647,2.3333333333333335,2.3333333333333335,1.0,1.0
MCTS,4x5,6,1,10001,4,5,20,0,200,0.5,0.0,0.07043625717051327,14.19723364316737,1.0,0.0,0.0,8.666666666666666,1.247219128924647,2.3333333333333335,2.3333333333333335,1.0,1.0
Q-learning,4x5,6,2,10002,4,5,20,3000,0,0.0,0.22898020001593977,1.66601600125432e-05,60023.43310311029,1.0,0.0,0.0,8.333333333333334,1.247219128924647,2.6666666666666665,2.6666666666666665,1.0,1.0
MCTS,4x5,6,2,10002,4,5,20,0,200,0.5,0.0,0.07422253749973606,13.4729966622814,1.0,0.0,0.0,8.333333333333334,1.247219128924647,2.6666666666666665,2.6666666666666665,1.0,1.0
Q-learning,4x5,7,0,10000,4,5,20,3000,0,0.0,0.21464310004375875,1.7218439979478716e-05,58077.27071626815,1.0,0.0,0.0,8.0,0.816496580927726,3.0,3.0,1.0,1.0
MCTS,4x5,7,0,10000,4,5,20,0,200,0.5,0.0,0.07693348332153012,12.99824155654923,0.6666666666666666,0.3333333333333333,0.0,2.3333333333333335,8.73053390247253,2.0,3.0,0.6666666666666666,0.6666666666666666
Q-learning,4x5,7,1,10001,4,5,20,3000,0,0.0,0.21895350003615022,1.7754719988442956e-05,56323.05103380554,1.0,0.0,0.0,9.0,1.4142135623730951,2.0,2.0,1.0,1.0
MCTS,4x5,7,1,10001,4,5,20,0,200,0.5,0.0,0.087466957163997,11.432888857960847,1.0,0.0,0.0,8.666666666666666,1.8856180831641267,2.3333333333333335,2.0,0.9333333333333332,0.6666666666666666
Q-learning,4x5,7,2,10002,4,5,20,3000,0,0.0,0.21321570000145584,1.7405379982665182e-05,57453.50006698768,1.0,0.0,0.0,9.0,0.816496580927726,2.0,2.0,1.0,1.0
MCTS,4x5,7,2,10002,4,5,20,0,200,0.5,0.0,0.07398196668752159,13.516807470443581,1.0,0.0,0.0,9.0,0.816496580927726,2.0,2.0,1.0,1.0
Q-learning,4x5,8,0,10000,4,5,20,3000,0,0.0,0.2874759999103844,1.7251740000210703e-05,57965.16757079498,1.0,0.0,0.0,6.333333333333333,1.247219128924647,4.666666666666667,4.666666666666667,1.0,1.0
MCTS,4x5,8,0,10000,4,5,20,0,200,0.5,0.0,0.08644850910852918,11.567579479532494,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,8.339997335464536,3.6666666666666665,4.666666666666667,0.6111111111111112,0.3333333333333333
Q-learning,4x5,8,1,10001,4,5,20,3000,0,0.0,0.28842550003901124,1.6855279984883965e-05,59328.59026351464,1.0,0.0,0.0,7.333333333333333,2.357022603955158,3.6666666666666665,3.6666666666666665,1.0,1.0
MCTS,4x5,8,1,10001,4,5,20,0,200,0.5,0.0,0.07222820005845279,13.845007894295037,0.6666666666666666,0.3333333333333333,0.0,2.6666666666666665,8.956685895029603,1.6666666666666667,3.6666666666666665,0.6666666666666666,0.6666666666666666
Q-learning,4x5,8,2,10002,4,5,20,3000,0,0.0,0.28697270003613085,1.722325999289751e-05,58061.01750843788,1.0,0.0,0.0,8.666666666666666,0.4714045207910317,2.3333333333333335,2.3333333333333335,1.0,1.0
MCTS,4x5,8,2,10002,4,5,20,0,200,0.5,0.0,0.07163712859619409,13.959241800949677,1.0,0.0,0.0,8.666666666666666,0.4714045207910317,2.3333333333333335,2.3333333333333335,1.0,1.0
Q-learning,4x5,9,0,10000,4,5,20,3000,0,0.0,0.37263419991359115,1.7698679980821906e-05,56501.388865361085,1.0,0.0,0.0,7.666666666666667,2.0548046676563256,3.3333333333333335,3.3333333333333335,1.0,1.0
MCTS,4x5,9,0,10000,4,5,20,0,200,0.5,0.0,0.08572633001022041,11.66502753449003,1.0,0.0,0.0,7.666666666666667,2.0548046676563256,3.3333333333333335,3.3333333333333335,1.0,1.0
Q-learning,4x5,9,1,10001,4,5,20,3000,0,0.0,0.3567357000429183,1.7594659980386495e-05,56835.426266534385,1.0,0.0,0.0,5.666666666666667,0.4714045207910317,5.333333333333333,5.333333333333333,1.0,1.0
MCTS,4x5,9,1,10001,4,5,20,0,200,0.5,0.0,0.08827897689591807,11.327725299524161,0.6666666666666666,0.3333333333333333,0.0,0.0,8.48528137423857,4.333333333333333,5.333333333333333,0.6666666666666666,0.6666666666666666
Q-learning,4x5,9,2,10002,4,5,20,3000,0,0.0,0.356972899986431,1.7035700008273123e-05,58700.258839634735,1.0,0.0,0.0,6.666666666666667,1.247219128924647,4.333333333333333,4.333333333333333,1.0,1.0
MCTS,4x5,9,2,10002,4,5,20,0,200,0.5,0.0,0.08371414284088782,11.945412878450666,0.3333333333333333,0.6666666666666666,0.0,-4.666666666666667,8.993825042154695,2.3333333333333335,4.333333333333333,0.3333333333333333,0.3333333333333333
Q-learning,4x5,10,0,10000,4,5,20,3000,0,0.0,0.30029869999270886,1.7199800000526012e-05,58140.2109309072,1.0,0.0,0.0,8.0,1.4142135623730951,3.0,3.0,1.0,1.0
MCTS,4x5,10,0,10000,4,5,20,0,200,0.5,0.0,0.08007808888538016,12.487810509955485,1.0,0.0,0.0,8.0,1.4142135623730951,3.0,3.0,1.0,1.0
Q-learning,4x5,10,1,10001,4,5,20,3000,0,0.0,0.3039557000156492,1.715322001837194e-05,58298.09207419662,1.0,0.0,0.0,8.666666666666666,0.9428090415820634,2.3333333333333335,2.3333333333333335,1.0,1.0
MCTS,4x5,10,1,10001,4,5,20,0,200,0.5,0.0,0.0730895000077518,13.681855805470567,1.0,0.0,0.0,8.666666666666666,0.9428090415820634,2.3333333333333335,2.3333333333333335,1.0,1.0
Q-learning,4x5,10,2,10002,4,5,20,3000,0,0.0,0.30146280000917614,1.6656719986349343e-05,60035.829432176826,1.0,0.0,0.0,6.333333333333333,1.247219128924647,4.666666666666667,4.666666666666667,1.0,1.0
MCTS,4x5,10,2,10002,4,5,20,0,200,0.5,0.0,0.08701264999607312,11.492581826264686,1.0,0.0,0.0,6.333333333333333,1.247219128924647,4.666666666666667,4.666666666666667,1.0,1.0
Q-learning,6x6,1,0,10000,6,6,36,3000,0,0.0,0.465137500083074,1.7332000005990267e-05,57696.74588358995,1.0,0.0,0.0,6.666666666666667,0.9428090415820634,4.333333333333333,4.333333333333333,1.0,1.0
MCTS,6x6,1,0,10000,6,6,36,0,200,0.5,0.0,0.09746740001719445,10.259840724422604,0.6666666666666666,0.3333333333333333,0.0,1.3333333333333333,8.055363982396381,3.0,4.333333333333333,0.6666666666666666,0.6666666666666666
Q-learning,6x6,1,1,10001,6,6,36,3000,0,0.0,0.4298667999682948,1.751593998633325e-05,57090.85557385138,1.0,0.0,0.0,5.666666666666667,3.2998316455372216,5.333333333333333,5.333333333333333,1.0,1.0
MCTS,6x6,1,1,10001,6,6,36,0,200,0.5,0.0,0.10519344998465385,9.506295307796114,0.3333333333333333,0.6666666666666666,0.0,-5.0,10.677078252031311,2.6666666666666665,5.333333333333333,0.3333333333333333,0.3333333333333333
Q-learning,6x6,1,2,10002,6,6,36,3000,0,0.0,0.42834949993994087,1.732878000475466e-05,57707.46698415125,1.0,0.0,0.0,4.333333333333333,1.247219128924647,6.666666666666667,6.666666666666667,1.0,1.0
MCTS,6x6,1,2,10002,6,6,36,0,200,0.5,0.0,0.1175213523785628,8.509092005500195,1.0,0.0,0.0,4.0,1.632993161855452,7.0,6.666666666666667,0.9629629629629629,0.6666666666666666
Q-learning,6x6,2,0,10000,6,6,36,3000,0,0.0,0.3155545999761671,1.675913999788463e-05,59668.93290026945,1.0,0.0,0.0,8.333333333333334,0.4714045207910317,2.6666666666666665,2.6666666666666665,1.0,1.0
MCTS,6x6,2,0,10000,6,6,36,0,200,0.5,0.0,0.09318847498798277,10.730940710521942,1.0,0.0,0.0,8.333333333333334,0.4714045207910317,2.6666666666666665,2.6666666666666665,1.0,1.0
Q-learning,6x6,2,1,10001,6,6,36,3000,0,0.0,0.3073475999990478,1.6609620000235735e-05,60206.07334700055,1.0,0.0,0.0,8.0,1.632993161855452,3.0,3.0,1.0,1.0
MCTS,6x6,2,1,10001,6,6,36,0,200,0.5,0.0,0.09749149998080814,10.257304484974144,1.0,0.0,0.0,8.0,1.632993161855452,3.0,3.0,1.0,1.0
Q-learning,6x6,2,2,10002,6,6,36,3000,0,0.0,0.30544150003697723,1.6552540007978678e-05,60413.688746136766,1.0,0.0,0.0,7.0,1.632993161855452,4.0,4.0,1.0,1.0
MCTS,6x6,2,2,10002,6,6,36,0,200,0.5,0.0,0.10525368459415264,9.500855042328418,1.0,0.0,0.0,6.666666666666667,2.0548046676563256,4.333333333333333,4.0,0.9523809523809524,0.6666666666666666
Q-learning,6x6,3,0,10000,6,6,36,3000,0,0.0,0.3105776000302285,1.8145959987305103e-05,55108.685387799764,1.0,0.0,0.0,9.666666666666666,0.4714045207910317,1.3333333333333333,1.3333333333333333,1.0,1.0
MCTS,6x6,3,0,10000,6,6,36,0,200,0.5,0.0,0.08174072499969043,12.233803896451704,1.0,0.0,0.0,9.666666666666666,0.4714045207910317,1.3333333333333333,1.3333333333333333,1.0,1.0
Q-learning,6x6,3,1,10001,6,6,36,3000,0,0.0,0.30793479993008077,1.716901999898255e-05,58244.442609960315,1.0,0.0,0.0,6.666666666666667,0.4714045207910317,4.333333333333333,4.333333333333333,1.0,1.0
MCTS,6x6,3,1,10001,6,6,36,0,200,0.5,0.0,0.10130844997668949,9.870844931790925,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,8.73053390247253,4.0,4.333333333333333,0.6,0.3333333333333333
Q-learning,6x6,3,2,10002,6,6,36,3000,0,0.0,0.3171867000637576,1.683217999525368e-05,59410.01107889642,1.0,0.0,0.0,6.666666666666667,2.0548046676563256,4.333333333333333,4.333333333333333,1.0,1.0
MCTS,6x6,3,2,10002,6,6,36,0,200,0.5,0.0,0.09215053997468203,10.851808359177772,0.3333333333333333,0.6666666666666666,0.0,-4.0,9.201449161228174,1.6666666666666667,4.333333333333333,0.3333333333333333,0.3333333333333333
Q-learning,6x6,4,0,10000,6,6,36,3000,0,0.0,0.4907807999989018,1.7331920005381106e-05,57697.0122000059,1.0,0.0,0.0,2.6666666666666665,0.4714045207910317,8.333333333333334,8.333333333333334,1.0,1.0
MCTS,6x6,4,0,10000,6,6,36,0,200,0.5,0.0,0.11660079999516408,8.576270489065891,0.3333333333333333,0.6666666666666666,0.0,-8.333333333333334,8.013876853447538,6.0,8.333333333333334,0.3333333333333333,0.3333333333333333
Q-learning,6x6,4,1,10001,6,6,36,3000,0,0.0,0.4920657000038773,1.6542780003510415e-05,60449.33196160486,1.0,0.0,0.0,7.0,1.4142135623730951,4.0,4.0,1.0,1.0
MCTS,6x6,4,1,10001,6,6,36,0,200,0.5,0.0,0.09483121665349852,10.545050831245536,1.0,0.0,0.0,7.0,1.4142135623730951,4.0,4.0,1.0,1.0
Q-learning,6x6,4,2,10002,6,6,36,3000,0,0.0,0.5000265000853688,1.858721999451518e-05,53800.406962153866,1.0,0.0,0.0,6.0,1.4142135623730951,5.0,5.0,1.0,1.0
MCTS,6x6,4,2,10002,6,6,36,0,200,0.5,0.0,0.10609457998070866,9.425552183550108,0.6666666666666666,0.3333333333333333,0.0,1.0,7.788880963698615,3.3333333333333335,5.0,0.6,0.3333333333333333
Q-learning,6x6,5,0,10000,6,6,36,3000,0,0.0,0.3898065999383107,2.0291940006427466e-05,49280.65033127686,1.0,0.0,0.0,8.0,2.160246899469287,3.0,3.0,1.0,1.0
MCTS,6x6,5,0,10000,6,6,36,0,200,0.5,0.0,0.11016333333423568,9.077430481937204,1.0,0.0,0.0,8.0,2.160246899469287,3.0,3.0,1.0,1.0
Q-learning,6x6,5,1,10001,6,6,36,3000,0,0.0,0.35375999996904284,1.7772520007565618e-05,56266.64083508181,1.0,0.0,0.0,8.0,1.4142135623730951,3.0,3.0,1.0,1.0
MCTS,6x6,5,1,10001,6,6,36,0,200,0.5,0.0,0.0954216221968333,10.479805069098758,1.0,0.0,0.0,8.0,1.4142135623730951,3.0,3.0,1.0,1.0
Q-learning,6x6,5,2,10002,6,6,36,3000,0,0.0,0.3497080000815913,1.669242000207305e-05,59907.431030120795,1.0,0.0,0.0,7.333333333333333,0.9428090415820634,3.6666666666666665,3.6666666666666665,1.0,1.0
MCTS,6x6,5,2,10002,6,6,36,0,200,0.5,0.0,0.1018210181818259,9.821154982110468,1.0,0.0,0.0,7.333333333333333,0.9428090415820634,3.6666666666666665,3.6666666666666665,1.0,1.0
